movie title,total number of tweets,total likes,retweets,average tweet sentiment
Jurassic World,2367.0,3770.0,1807.0,0.1072
Inside Out,2632.0,7549.0,2683.0,0.1822
Furious 7,1856.0,10377.0,9475.0,0.02
Minions,8730.0,12455.0,7056.0,0.0
The Martian,2667.0,1882.0,1179.0,0.1272
Cinderella ,6490.0,5473.0,4129.0,0.0136
Spectre,9191.0,9943.0,8373.0,0.0
Pitch Perfect 2,649.0,1114.0,440.0,0.0375
Hotel Transylvania 2,109.0,90.0,43.0,0.0
Fifty Shades of Grey,24326.0,8075.0,6455.0,0.045
Straight Outta Compton,830.0,3406.0,2751.0,0.0711
San Andreas,1093.0,394.0,306.0,0.0
The Peanuts Movie,122.0,58.0,57.0,0.1136
The Good Dinosaur,320.0,137.0,350.0,0.0836
Trainwreck,998.0,3232.0,1012.0,0.0
Creed,6855.0,13984.0,12242.0,0.06
Tomorrowland,2805.0,5715.0,2670.0,0.0
The Good Dinosaur,320.0,137.0,350.0,0.0836
Trainwreck,998.0,3232.0,1012.0,0.0
Creed,6855.0,13984.0,12242.0,0.06
Tomorrowland,2805.0,5715.0,2670.0,0.0
Get Hard,787.0,4087.0,1150.0,-0.0333
Taken 3,574.0,424.0,225.0,0.0375
Ted 2,302.0,2133.0,375.0,0.0
Goosebumps,3122.0,4021.0,2310.0,0.0
Pixels,5575.0,4076.0,1764.0,0.0136
Paddington,1945.0,2102.0,2663.0,0.08
The Intern,276.0,422.0,366.0,0.0
Bridge of Spies,50.0,23.0,5.0,0.0136
Magic Mike XXL,276.0,766.0,449.0,0.05
The Visit,658.0,475.0,240.0,0.11
The Wedding Ringer,259.0,1051.0,311.0,0.1336
Black Mass,393.0,536.0,236.0,-0.0031000000000000003
The Perfect Guy,472.0,1038.0,932.0,-0.0464
Fantastic Four,1308.0,1015.0,734.0,0.08
Southpaw,1011.0,977.0,574.0,0.0
Insidious Chapter 3,144.0,114.0,62.0,0.0375
Poltergeist ,1419.0,1026.0,563.0,0.005
Jupiter Ascending,149.0,164.0,82.0,0.08
The Gift ,21770.0,15832.0,11367.0,0.15
The Night Before,1791.0,4350.0,1462.0,0.14
Krampus,308.0,134.0,63.0,0.0
The Age of Adaline,213.0,77.0,55.0,0.0272
The Longest Ride,368.0,115.0,17.0,0.08
The Boy Next Door,509.0,7506.0,3631.0,0.0136
Hot Pursuit,108.0,180.0,87.0,0.1
Concussion ,3070.0,3762.0,2101.0,0.0136
The DUFF,554.0,1728.0,550.0,0.12
Unfriended,1172.0,1047.0,427.0,0.0
Entourage,1600.0,2831.0,2313.0,0.0
Paper Towns,2853.0,26461.0,9119.0,0.0
Chappie,324.0,203.0,53.0,0.0
Crimson Peak,300.0,1675.0,835.0,0.0708
Point Break ,396.0,1593.0,907.0,0.0272
The Gallows,163.0,415.0,206.0,0.075
Project Almanac,62.0,876.0,131.0,0.0136
Finding Dory,1135.0,1349.0,1308.0,0.0536
The Gallows,163.0,415.0,206.0,0.075
Project Almanac,62.0,876.0,131.0,0.0136
Finding Dory,1135.0,1349.0,1308.0,0.0536
The Secret Life of Pets,439.0,1420.0,979.0,0.0636
The Jungle Book ,286.0,548.0,408.0,0.0136
Deadpool,4235.0,6454.0,4948.0,0.0736
Zootopia,1502.0,5132.0,2601.0,0.0136
Suicide Squad,4638.0,22231.0,16215.0,0.0136
Moana,911.0,6306.0,1709.0,0.0
Fantastic Beasts and Where To Find Them,2577.0,1898.0,1079.0,0.1736
Doctor Strange,2854.0,19222.0,16090.0,0.0172
Jason Bourne,350.0,567.0,284.0,0.0136
Star Trek Beyond,646.0,1130.0,648.0,0.0386
Trolls,15419.0,36903.0,14664.0,0.0
Kung Fu Panda 3,236.0,138.0,46.0,0.0636
Ghostbusters ,5302.0,14248.0,5090.0,0.0511
Central Intelligence,68.0,39.0,14.0,0.0
The Legend of Tarzan,161.0,88.0,60.0,0.0136
Sully,1485.0,1919.0,713.0,0.0136
Bad Moms,121.0,135.0,63.0,0.0
The Angry Birds Movie,351.0,398.0,170.0,0.095
The Conjuring 2,159.0,858.0,418.0,0.035
Arrival,5648.0,23732.0,15245.0,0.0136
Passengers ,7235.0,18087.0,9510.0,0.0136
Sausage Party,149.0,117.0,34.0,0.0
The Magnificent Seven ,164.0,121.0,37.0,0.0
Ride Along 2,125.0,82.0,49.0,0.0
The Accountant,720.0,1124.0,219.0,0.07
Alice Through the Looking Glass,337.0,466.0,172.0,0.0438
The Girl on the Train ,332.0,645.0,218.0,0.14
Storks,218.0,418.0,140.0,0.0
10 Cloverfield Lane,78.0,304.0,28.0,0.0336
Lights Out,6211.0,12080.0,7509.0,0.04
Hacksaw Ridge,133.0,308.0,114.0,0.0
Now You See Me 2,702.0,1409.0,920.0,0.1772
The Boss,4357.0,11689.0,6766.0,0.1
London Has Fallen,170.0,217.0,65.0,0.0
Miracles from Heaven,134.0,137.0,80.0,0.1167
Deepwater Horizon,358.0,3548.0,2135.0,0.1136
Why Him?,293.0,118.0,22.0,0.0136
My Big Fat Greek Wedding 2,42.0,144.0,33.0,0.055
Me Before You,6067.0,39514.0,32488.0,0.0272
The BFG,227.0,1598.0,416.0,0.0511
The Shallows,143.0,143.0,100.0,0.0136
Office Christmas Party,697.0,440.0,377.0,0.0272
Kubo and the Two Strings,74.0,74.0,75.0,0.0272
Warcraft,3963.0,6540.0,2962.0,0.0
How to Be Single,185.0,596.0,226.0,0.0494
Mike and Dave Need Wedding Dates,32.0,12.0,9.0,0.0
War Dogs,52.0,72.0,34.0,0.0236
Almost Christmas,89.0,2803.0,1100.0,0.0
Money Monster,90.0,41.0,33.0,0.185
Allied,846.0,1611.0,747.0,0.0
Nerve,4897.0,10997.0,4521.0,0.0
Risen,1154.0,1798.0,998.0,0.0
The Nice Guys,1535.0,7044.0,1848.0,0.08
The Boy ,4476.0,7960.0,5189.0,0.0636
Dirty Grandpa,313.0,7631.0,1469.0,0.0136
The 5th Wave,195.0,216.0,100.0,0.1
Inferno,8082.0,9352.0,5879.0,0.0
Gods of Egypt,281.0,11493.0,5479.0,0.01
Collateral Beauty,1267.0,1202.0,467.0,0.0136
When the Bough Breaks,7.0,3.0,2.0,0.0833
Zoolander 2,141.0,429.0,241.0,0.0
The Finest Hours,32.0,23.0,21.0,0.1086
The Forest,1686.0,3820.0,2076.0,0.0136
The Witch,732.0,780.0,539.0,0.003599999999999999
Beauty and the Beast ,3371.0,11979.0,6184.0,0.1136
Wonder Woman,11464.0,90871.0,63996.0,0.0272
